radius_au,normalised_surface_density
5.545000000000035811e+01,7.189113861792026383e-02
5.555000000000036664e+01,6.279150642336782384e-02
5.565000000000036096e+01,7.163276974597829194e-02
5.575000000000036948e+01,8.044231553200288654e-02
5.585000000000036380e+01,7.137625132253434812e-02
5.595000000000037232e+01,5.343650987082723680e-02
5.605000000000036664e+01,7.112156353904938721e-02
5.615000000000037517e+01,6.212053752124876288e-02
5.625000000000036948e+01,1.771717171717213796e-02
5.635000000000037801e+01,4.421432604662352273e-02
5.645000000000037232e+01,0.000000000000000000e+00
5.655000000000038085e+01,3.524636283257073788e-02
5.665000000000037517e+01,8.796036267351273197e-03
5.675000000000038369e+01,2.634160993191808978e-02
5.685000000000037801e+01,4.382545774366500974e-02
5.695000000000038654e+01,4.374850347194487316e-02
5.705000000000038085e+01,4.367181897856729778e-02
5.715000000000038938e+01,3.487632227789701916e-02
5.725000000000038369e+01,0.000000000000000000e+00
5.735000000000039222e+01,1.737734802250933894e-02
5.745000000000038654e+01,1.734710024527262584e-02
5.755000000000039506e+01,4.329239396572171633e-02
5.765000000000038938e+01,1.728691949854146634e-02
5.775000000000039790e+01,1.725698543880375621e-02
5.785000000000039222e+01,4.306788716901117919e-02
5.795000000000040075e+01,2.579614087379330026e-02
5.805000000000039506e+01,1.716780205152320174e-02
5.815000000000040359e+01,2.570741811928435247e-02
5.825000000000039790e+01,8.554428404213949844e-03
5.835000000000040643e+01,4.269883929266870409e-02
5.845000000000040075e+01,0.000000000000000000e+00
5.855000000000040927e+01,1.702119400667619076e-02
5.865000000000040359e+01,2.548825854452509490e-02
5.875000000000041211e+01,8.481624758220375482e-03
5.885000000000040643e+01,2.540163744496859097e-02
5.895000000000041496e+01,8.452849101703964821e-03
5.905000000000040927e+01,8.438534369948342065e-03
5.915000000000041780e+01,8.424268039652906340e-03
5.925000000000041211e+01,8.410049865746010642e-03
5.935000000000042064e+01,8.395879604809634855e-03
5.945000000000041496e+01,1.676351403012456623e-02
5.955000000000042348e+01,1.673536371269365025e-02
5.965000000000041780e+01,2.506096167035071209e-02
5.975000000000042633e+01,2.501901863826552080e-02
5.985000000000042064e+01,4.995443153337903591e-02
